delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
overall,2879,29.12338198621771,42.36687926449947,0.3418419659976787,,0.0,238,0,DE_LU,SARIMAX,False,False,,,,,
weekday_offpeak,1032,21.337291483994527,32.720684919475616,0.2214475479842767,,0.0,81,0,DE_LU,SARIMAX,False,False,,,,,
weekday_peak,1032,38.89581287870974,52.92061189672868,0.45304083757299646,,0.0,138,0,DE_LU,SARIMAX,False,False,,,,,
weekend,815,26.608163234368064,37.93042133237803,0.37886577947906475,,0.0,19,0,DE_LU,SARIMAX,False,False,,,,,
overall,2879,22.735149535333687,32.01112897967387,0.2668587122912992,0.45161290322580644,0.35294117647058826,238,186,DE_LU,SARIMAX,False,True,,,,,
weekday_offpeak,1032,15.990564085926419,24.65831182900938,0.16595692149446714,0.6046511627906976,0.32098765432098764,81,43,DE_LU,SARIMAX,False,True,,,,,
weekday_peak,1032,28.132853165837204,38.1697907529461,0.3276787504432226,0.5268817204301075,0.35507246376811596,138,93,DE_LU,SARIMAX,False,True,,,,,
weekend,815,24.44064896736886,31.702272583795423,0.3480031838513455,0.18,0.47368421052631576,19,50,DE_LU,SARIMAX,False,True,,,,,
overall,2879,32.49599643973602,47.493846603831415,0.3814287542315618,0.43223443223443225,0.4957983193277311,238,273,DE_LU,Weekly seasonal,False,False,,,,,
weekday_offpeak,1032,26.864465843023257,39.7138737397414,0.27881093030515874,0.4827586206896552,0.5185185185185185,81,87,DE_LU,Weekly seasonal,False,False,,,,,
weekday_peak,1032,42.961356589147286,60.275347140875134,0.5003944520484103,0.43902439024390244,0.5217391304347826,138,164,DE_LU,Weekly seasonal,False,False,,,,,
weekend,815,26.375122699386502,37.02132925812286,0.37554758411329187,0.18181818181818182,0.21052631578947367,19,22,DE_LU,Weekly seasonal,False,False,,,,,
