delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,evaluation_end,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
overall,719,11.793328993368343,15.853007542586417,0.1251898619526982,0.5641025641025641,0.6875,32,39,DE_LU,Quantile LightGBM,True,True,2025-03-31,4.032950408869259,5.8966644966841715,2.8336849791907928,0.5257301808066759,26.21503743694908
weekday_offpeak,252,8.103656118386253,10.710578158313679,0.07179808189156439,0.0,0.0,2,6,DE_LU,Quantile LightGBM,True,True,2025-03-31,2.365028143118501,4.051828059193126,1.876320868056299,0.5753968253968254,18.341741572074735
weekday_peak,252,12.753126574915166,17.281411882562026,0.12933068149890314,0.6666666666666666,0.7333333333333333,30,33,DE_LU,Quantile LightGBM,True,True,2025-03-31,3.5088337254731474,6.376563287457583,3.678332411099675,0.5555555555555556,33.59694584398772
weekend,215,14.992996779162237,18.86671551370805,0.22322743624948024,,,0,0,DE_LU,Quantile LightGBM,True,True,2025-03-31,6.60222396786931,7.496498389581118,2.965799412515697,0.4325581395348837,26.790989247993714
overall,720,45.959612847222225,62.069644345889884,0.6704662155801404,,0.0,43,0,DE_LU,Persistence,False,False,2025-06-30,,,,,
weekday_offpeak,252,21.44346726190476,33.99205280722038,0.2145914329381389,,0.0,27,0,DE_LU,Persistence,False,False,2025-06-30,,,,,
weekday_peak,252,62.59865079365079,73.50653139931264,1.3607451515206406,,0.0,9,0,DE_LU,Persistence,False,False,2025-06-30,,,,,
weekend,216,55.149571759259274,72.04411414503414,0.9468723496088054,,0.0,7,0,DE_LU,Persistence,False,False,2025-06-30,,,,,
overall,720,27.65858506944444,38.08190688290317,0.40348788231649757,0.4090909090909091,0.4186046511627907,43,44,DE_LU,Weekly seasonal,False,False,2025-06-30,,,,,
weekday_offpeak,252,28.28935515873016,38.91836872759652,0.2831003580840032,0.5769230769230769,0.5555555555555556,27,26,DE_LU,Weekly seasonal,False,False,2025-06-30,,,,,
weekday_peak,252,29.14063492063492,41.166437978176006,0.6334478008351727,0.25,0.2222222222222222,9,8,DE_LU,Weekly seasonal,False,False,2025-06-30,,,,,
